0,Hopefully they investigate the diseases that immigrants bring into America like AIDS and EBOLA and @URL
1,Horrible 'Nigerian disease' called Monkeypox spreads in the UK for the first time @URL
2,@user You forgot the mass uncontrolled 3rd world immigration plus the crime and disease they bring into the UK
3,We should close the borders until the Wall is built. They never assimilate &amp; bring disease that's been eradicated.\u2026 @URL
4,While they bring disease and ruin your walls and eat your foods without giving a shit about you. Fuck if I care. @URL
5,@user Stop all Travel until isolated! Stop illegals they bring damn disease
6,@user @user Lying Liberals. There is no line they won't cross to bring down the greatest President of ou\u2026 @URL
7,Lmfao. Feminism is really a disease now. Women always trying to bring men down in all aspects of life.
8,@user These feminazis are bring on a new Victorian era. Men became celibate to protect themselves from disease\u2026 @URL
9,@user @user Ching Chang Chong. Do you understand chinky boy? Does Communist government allow you to use\u2026 URL
10,RT @user: I HAVE NEVER EVER SEEN THIS MUCH \ud83d\udca9\ud83d\udca9\ud83d\udca9 PACKED AROUND A SINGLE #leftist #Terrorist #activist #liar -\n #ChristineBlaseyFord\nGU\u2026
11,RT @user : A feminist will spend hours telling you \u201cmen are trash\u201d\n\nThen start complaining about how they should be equal to men
12,@user The feminist movement has been the biggest threat to women in my lifetime! In their effort to empow\u2026 @URL
13,@user You cheating on me your black boyfriend with a WHIGGER
14,\fuck your optics\ ok whigger @URL
15,lol at how \leading HBD bloggers\= a Bengali cuckold with a jarringly gay voice a dravidian male posing as a whit\u2026 @URL
16,@user I'm going with the whigger on this one Mike.
17,@user call me a retarded cat thing alien thing again and ill fuck your cat in front if your gold fish faggot
18,u r ugly and retarded u stupid piece of shit. flaming faggot. kill ur self @URL
19,This faggot next to me at the gym is a Sox fan and everyone looking at him like he\u2019s retarded
20,When people get offended by insults and jokes with words like retarded autistic faggot etc. @URL
21,pal we're not always gonna be no the same wavelength you twat
22,HMMM BOMB SCARES Stocks Falling Gas Prices Interest Rates Rising Migrants Marching Leftist Violence Made up @URL
23,What do you expect from expired country like Nigeria a shithole and fantastically corrupt one indeed. Biafra Natio\u2026 @URL
24,I want to punch his face so fucking much disrespectful ching chong
25,@user Not everybody wants to hear ching chang Chong sir. Also I bet you dont even know Japanese
26,Ching Chong Ring Rong? I don't speak the language
27,@user Ching Chong lookin ass
28,since im japanese heres some japanese terms ill teach u: ching chong ling long long d0ng
29,why do niggas act like they are retarded
30,@user SEE U IN HELL DOWNY SCREW YOUR STUPID ASS
31,Faggot fucking sellout no iq pebble brain autistic slut
32,@user Are you a chinaman or a wetback? Looks like a combo to me.
33,RT @user _Laflare: VibeHi did all that MAGA tap dancing and they still kicked him out the White House like the nigger he is.
34,@user is a disgrace it wants to trash the US and make it another shithole country.... @URL
35,@user Poor Sweden. Turning into shithole country. But those eurofruits don\u2019t want to help themselves so w\u2026 @URL
36,@user Boutta hit the raghead tire shop again with Zane \ud83d\ude02\ud83d\ude02
37,@user No one gives a crap about this raghead!!
38,I\u2019ve never seen a story so overhyped as this Jamal Khashoggi bullshit. Americans don\u2019t care if some raghead reporte\u2026 @URL
39,@user I wanna kill em raghead style pour acid on them and shove razor wire up their ass that's what th\u2026 @URL
40,@user @user Never see me going to a #RagHead Country.
41,You're obsessed negro jew.\n\nI'm not bowing to your bullshit. ever. You deaf lesion brained con.\n\nI will keep tellin\u2026 @URL
42,"@user : Hodgetwins react @user #KanyeWest was called a \u201ctoken negro\u201d and a \u201cdumb negro\u201d.\nCNN is full blown RACIST. #TRUMP2020 #MA\u2026"""
43,Black own businesses is gone bc of illegal immigrants?\nThink abt it if undocumented ppl are illegal then legal @URL
44,If you are making jokes about the scenes in Leicester right now you're a cunt
45,@user You are a green tea drinking muzzie doing taqqiya by drinking Brahminical hindu coffee and non-brahminical hindu tea!!\ud83d\ude02\ud83d\ude02\ud83d\ude02
46,@user Green tea? You muzzie!! Stop your taqqiya... \ud83d\ude02\ud83d\ude02
47,@user @user His fake rap is nauseating. He's a Muzzie and never did squat for Black Americans. He's ou\u2026 @URL
48,Brother Nature ain't black no more huh? He just a spic to y'all now right? Ain't trying to hold the dominirican homie down at all
49,Teddy fat sorry ass wrong for how he doing Jadah all because he want that wetback Tati \ud83d\ude12\ud83e\udd2c his lame no pussy getting\u2026 @URL
50,@user @user @user Go back to Guatemala you stinking wetback
51,Communist wetback douchebag @user is such a drag on his team send him back to cuba! @user
52,We got shitlib Twitter calling us Nazis and we got wigger-nationalists and low IQ right wing spergs calling us jews\u2026 @URL
53,@user WTF!!!! STOP THIS INVASION. OPERATION WETBACK IS HOW IKE RAN OUT THE ILLEGALS WITH ONE IF HIS TOP\u2026 @URL
54,@user 41 from an idiot TORY soup taker in denial.  go do research on the Irish regiments .
55,@user @user @user He's a Marxist big mouthed yobbo. As much as I hate @user I wouldn't\u2026 @URL
56,@user Strewth mate ... don't be a yobbo. Just speak the Pommy English ....
57,@user If it weren't for her close resemblance to trailer park trash she could be a model.
58,@user 538 They may dress better they may speak \u201cbetter\u201d but make no mistake they are trailer park trash
59,@user Trash comes in many forms apparently. Moons in the trailer park.
60,I can\u2019t surround myself with fake boojie bitches lol. Especially when you been pass around and acting stuck up. Shit bothers me.
61,Macron can't you see your own country's sinking into a shithole your trying to be Merkel no cunts interested in you\u2026 @URL
62,@user Can I dress up as you for Halloween (retard with anger issues) you ugly cunt
63,@user Yes. He needs to fuck off to a Muslim country and practice there. Total cunt tgat started all the @URL
64,This SOCIALIST COMMUNIST MUSLIM HAD 8 YEARS ...\nHE DAMN NEAR DESTROYED \nAMERICA !!! \nIF YOU DARE LISTEN TO HIS RANT\u2026 @URL
65,Only Leicester i like is the cheese fucking yobbo cunts
66,@user We don't need URDU in our nation and schools. Just shut up @URL
67,@user Pappu don't feel bad. By kicking your videshi family out of our Country we are ONLY FOLLOWING your BA\u2026 @URL
68,It certainly will starve or go back to your country where you belong. @URL
69,@user Stupid nut lier dumbass transgender asshole. Go back to your fucking country you came from\u2026 @URL
70,RT @user: CONNECTICUT SPENDS MORE THAN $1.1 billion a year on illegals!! Go back to your country get your paperwork done and we wi\u2026
71,@user Good. You can go back to hitting yourself for Hussein and leave civilized people alone. Your coun\u2026 @URL
72,also you\u2019re not from around here aren\u2019t you ? bitch better get your fuckin\u2019 visa or get ready to go back to either\u2026 @URL
73,@user Traumatized? What your people in your home country do to women is worse! This liar was Groped NOT R\u2026 @URL
74,@user They are not thankful that they can live in Europe or Uk why demonstration for what go back to your country
75,@user But you just said Europe is for Europeans Germany must not become an Arab country immgrants should g\u2026 @URL
76,@user 1982 Seriously go back to your country with that shit dead ass
77,There is no fcking way I'm paying you cnts a toll for that completely  retarded Bell St exit with its completely @URL
78,@user Why dont you go back to Vietnam for they rest of your useless being. You never was a patriot for th\u2026 @URL
79,@user you Have proven to be one of the Communist Party just go back to your other\u2026 @URL
80,This woman is a danger to woman\u2019s rights. She does NOT share our values. She and her ppl WILL force you to accept Sharia law @URL
81,@user You married your bother go back to the hell you came from you dont deserve to be in our great country..I WILL CALL ICE ASAP
82,@user There the woman sits in clothes that are probably hot &amp; are cumbersome. Go back t\u2026 @URL
83,@user You could go back to your native India and start there tell your native country to stop raping little girls @URL
84,@user GO back to your own country!!! Leave ours alone....fix your own country take your brother husband home with you
85,@user Racist...seriously go back to Canada. You try to show him with black people to insult him? You really are\u2026 @URL
86,Gentle reminder: The atrocities in other nation states are theirs to fix and you don't have to accept refugees into yours.
87,@user @user @user There is a difference between refugees and migrant workers. The latter return home after they\u2026
88,RT @user : We need to do everything possible to secure the border. And we can do that at the same time as we welcome and celebrate legal\u2026
89,Illegal immigrants are going to destroy America. Saddest thing really.
90,@user If the leftists in Europe are happy to recieve muslim illegal immigrants - they are very welcome\n\nTake them all and keep them\u2026
91,RT @user Poland actually lost the best of our blood. Let's be honest - Polish immigrants pay taxes do not m\u2026
92,RT @user : Legal immigration is by far the most damaging form of immigration. So many of our people get caught up with the thousa\u2026
93,@user @user Conjectural statement. No country in the world; incl US can afford it. 2. More importantly US cl\u2026 @URL
94,RT @user : Thread\ud83d\udc47 on the impact of housing refugees in Toronto. What a mess. @URL
95,RT @user : The next question is why the government has housed refugees in a $150-$200 a night hotel for months
96,I have taught BOTH my daughters and son that this type of feminist bullshit is what keeps us in turmoil rather than\u2026 @URL
97,Call them what they are ILLEGAL ALIENS not undocumented immigrants!! @URL
98,@user We've heard 11 million illegal aliens for decades. My guess it's over 30 million now es @URL
99,@user LIVE BY OUR LAWS OR GO BACK FROM WHENCE YOU COME BUILD HEALTHY COMMUNITIES IN YOUR HOMELAND\u2026 @URL
